1	Book/literacy fairs	Help organize a literary and book fair in Long Beach	39051	Urban Community Outreach Incorporated	Education	241 Cedar Avenue 	Long Beach	CA  	90802	555-123-9051	fake39051@email.com 33.765904	 -118.196602
2	Career Days	Help organize a career day at an agency or school in Long Beach	39051	Urban Community Outreach Incorporated	Education	241 Cedar Avenue 	Long Beach	CA  	90802	555-123-9051	fake39051@email.com 33.765904	 -118.196602
3	Back to school events (supplies/backpack drives)	Help prepare back to school events in under-served communities in Long Beach	39051	Urban Community Outreach Incorporated	Education	241 Cedar Avenue 	Long Beach	CA  	90802	555-123-9051	fake39051@email.com 33.765904	 -118.196602
4	After-school homework help/tutoring	Tutor students after school in Long Beach	39051	Urban Community Outreach Incorporated	Education	241 Cedar Avenue 	Long Beach	CA  	90802	555-123-9051	fake39051@email.com 33.765904	 -118.196602
5	Mentoring	Mentor a Teenager in Long Beach	39051	Urban Community Outreach Incorporated	Education	241 Cedar Avenue 	Long Beach	CA  	90802	555-123-9051	fake39051@email.com 33.765904	 -118.196602
6	Graduations	Help at a High School student graduation ceremony in Long Beach	39051	Urban Community Outreach Incorporated	Education	241 Cedar Avenue 	Long Beach	CA  	90802	555-123-9051	fake39051@email.com 33.765904	 -118.196602
7	Welcome Home Kit assembly	Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Redondo Beach	38989	Breastfeeding Task Force of Greater Los Angeles	BasicNeeds	2110 Artesia Boulevard 	Redondo Beach	CA  	90278	555-123-8989	fake38989@email.com 33.869939	 -118.372011
8	Basic needs "kit" assembly	Help assemble a kit to help families in need navigate the maze of services available to them in Redondo Beach	38989	Breastfeeding Task Force of Greater Los Angeles	BasicNeeds	2110 Artesia Boulevard 	Redondo Beach	CA  	90278	555-123-8989	fake38989@email.com 33.869939	 -118.372011
9	Donation sorting	Help Process Gifts for an Organization in Redondo Beach	38989	Breastfeeding Task Force of Greater Los Angeles	BasicNeeds	2110 Artesia Boulevard 	Redondo Beach	CA  	90278	555-123-8989	fake38989@email.com 33.869939	 -118.372011
10	Cooking groups	Participate in a cooking group to prepare food for a homeless shelter in Redondo Beach	38989	Breastfeeding Task Force of Greater Los Angeles	BasicNeeds	2110 Artesia Boulevard 	Redondo Beach	CA  	90278	555-123-8989	fake38989@email.com 33.869939	 -118.372011
11	Gift/Food Drives	Help organize a food drive or a gift drive for a shelter serving the homeless in Redondo Beach	38989	Breastfeeding Task Force of Greater Los Angeles	BasicNeeds	2110 Artesia Boulevard 	Redondo Beach	CA  	90278	555-123-8989	fake38989@email.com 33.87275	 -118.374498
12	Welcome Home Kit assembly	Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Los Angeles	38939	World Centered Outreach	BasicNeeds	 P.O. Box 470880 	Los Angeles	CA  	90047	555-123-8939	fake38939@email.com 33.957613	 -118.309162
13	Basic needs "kit" assembly	Help assemble a kit to help families in need navigate the maze of services available to them in Los Angeles	38939	World Centered Outreach	BasicNeeds	 P.O. Box 470880 	Los Angeles	CA  	90047	555-123-8939	fake38939@email.com 33.957613	 -118.309162
14	Donation sorting	Help Process Gifts for an Organization in Los Angeles	38939	World Centered Outreach	BasicNeeds	 P.O. Box 470880 	Los Angeles	CA  	90047	555-123-8939	fake38939@email.com 33.957613	 -118.309162
15	Cooking groups	Participate in a cooking group to prepare food for a homeless shelter in Los Angeles	38939	World Centered Outreach	BasicNeeds	 P.O. Box 470880 	Los Angeles	CA  	90047	555-123-8939	fake38939@email.com 33.957613	 -118.309162
16	Gift/Food Drives	Help organize a food drive or a gift drive for a shelter serving the homeless in Los Angeles	38939	World Centered Outreach	BasicNeeds	 P.O. Box 470880 	Los Angeles	CA  	90047	555-123-8939	fake38939@email.com 33.957613	 -118.309162
17	Book/literacy fairs	Help organize a literary and book fair in Studio City	38938	America's Fallen Heroes Fund	Education	12731 Moorpark Street 	Studio City	CA  	91604	555-123-8938	fake38938@email.com 34.139626	 -118.394218
18	Career Days	Help organize a career day at an agency or school in Studio City	38938	America's Fallen Heroes Fund	Education	12731 Moorpark Street 	Studio City	CA  	91604	555-123-8938	fake38938@email.com 34.139626	 -118.394218
19	Back to school events (supplies/backpack drives)	Help prepare back to school events in under-served communities in Studio City	38938	America's Fallen Heroes Fund	Education	12731 Moorpark Street 	Studio City	CA  	91604	555-123-8938	fake38938@email.com 34.139626	 -118.394218
20	After-school homework help/tutoring	Tutor students after school in Studio City	38938	America's Fallen Heroes Fund	Education	12731 Moorpark Street 	Studio City	CA  	91604	555-123-8938	fake38938@email.com 34.139626	 -118.394218
21	Mentoring	Mentor a Teenager in Studio City	38938	America's Fallen Heroes Fund	Education	12731 Moorpark Street 	Studio City	CA  	91604	555-123-8938	fake38938@email.com 34.139626	 -118.394218
22	Graduations	Help at a High School student graduation ceremony in Studio City	38938	America's Fallen Heroes Fund	Education	12731 Moorpark Street 	Studio City	CA  	91604	555-123-8938	fake38938@email.com 34.150443	 -118.410175
23	Book/literacy fairs	Help organize a literary and book fair in Corona	38889	Dandelion Wishes Inc.	Education	655 Shasta Drive 	Corona	CA  	92881	555-123-8889	fake38889@email.com 33.827083	 -117.513873
24	Career Days	Help organize a career day at an agency or school in Corona	38889	Dandelion Wishes Inc.	Education	655 Shasta Drive 	Corona	CA  	92881	555-123-8889	fake38889@email.com 33.827083	 -117.513873
25	Back to school events (supplies/backpack drives)	Help prepare back to school events in under-served communities in Corona	38889	Dandelion Wishes Inc.	Education	655 Shasta Drive 	Corona	CA  	92881	555-123-8889	fake38889@email.com 33.827083	 -117.513873
